,publication_name,publication_type,research_title,marked_reproducible,article_link,Included,excluding_reason,artifacts_available,source_code_availability,where_is_source_code_link,source_code,dependencies,reproducible,time_spend_reproduce/minutes,instruction_type,notes
28,ASPLOS’24,conference,ZENO: A Type-based Optimization Framework for Zero Knowledge Neural Network Inference,no,https://dl.acm.org/doi/10.1145/3617232.3624852,no,requires_Intel_Xeon,yes,available,in_article,https://github.com/BoyuanFeng/ZENO,Intel(R) Xeon(R) Gold 5218 CPU @ 2.30GHz and 503 GB DRAM,,,simple,
29,ASPLOS’24,conference,8-bit Transformer Inference and Fine-tuning for Edge Accelerators,yes,https://dl.acm.org/doi/10.1145/3620666.3651368,,,,available,in_article,https://github.com/jeffreyyu0602/quantized-training,python,,,,
30,ASPLOS’24,conference,BeeZip: Towards An Organized and Scalable Architecture for Data Compression,yes,https://dl.acm.org/doi/10.1145/3620666.3651323,,,,available,in_article,https://zenodo.org/records/10756036,"docker, python",,,,
31,ASPLOS’24,conference,Boost Linear Algebra Computation Performance via Efficient VNNI Utilization,no,https://dl.acm.org/doi/10.1145/3620666.3651333,,,,not_available,,,,no,,,I can’t find any source code and authors’ websites.
32,ASPLOS’24,conference,C4CAM: A Compiler for CAM-based In-memory Accelerators,no,https://dl.acm.org/doi/10.1145/3620666.3651386,,,,not_available,,,,no,,,"I checked the author’s website, and she did not mark this paper as open-sourced."
33,ASPLOS’24,conference,CSSTs: A Dynamic Data Structure for Partial Orders in Concurrent Execution Analysis,yes,https://dl.acm.org/doi/10.1145/3620666.3651358,,,,available,in_article,https://zenodo.org/records/10897625,docker,,,,
34,ASPLOS’24,conference,Dr. DNA: Combating Silent Data Corruptions in Deep Learning using Distribution of Neuron Activations,no,https://dl.acm.org/doi/10.1145/3620666.3651349,,,,not_available,,,,no,,,"I checked the author’s and his lab’s websites, and found no source code."
35,ASPLOS’24,conference,Enforcing C/C++ Type and Scope at Runtime for Control-Flow and Data-Flow Integrity,no,https://dl.acm.org/doi/10.1145/3620666.3651342,,,,available,in_article,https://github.com/cosmoss-jigu/rsti,Apple M1 chip,,,,
36,PPOPP’24,conference,Are Your Epochs Too Epic? Batch Free Can Be Harmful,yes,https://dl.acm.org/doi/10.1145/3627535.3638491,,,,available,in_article,https://zenodo.org/records/10448021,docker,,,,
37,PPOPP’24,conference,Recurrence Analysis for Automatic Parallelization of Subscripted Subscripts,yes,https://dl.acm.org/doi/10.1145/3627535.3638493,,,,available,in_article,https://zenodo.org/records/10430776,"x86 machine, python",,,,docker image: hub.docker.com/r/akshaybhosale9594/artifact-subsubanalysis/tags
38,PPOPP’24,conference,ParlayANN: Scalable and Deterministic Parallel Graph-Based Approximate Nearest Neighbor Search Algorithms,no,https://dl.acm.org/doi/10.1145/3627535.3638475,,,,available,in_article,https://github.com/harsha-simhadri/big-ann-benchmarks/tree/main,docker,,,,
39,PPOPP’24,conference,Parallel Integer Sort: Theory and Practice,yes,https://dl.acm.org/doi/10.1145/3627535.3638483,,,,available,in_article,https://github.com/ucrparlay/DovetailSort,g++,,,,
40,WSDM’24,conference,Let the LLMs Talk: Simulating Human-to-Human Conversational QA via Zero-Shot LLM-to-LLM Interactions,no,https://dl.acm.org/doi/10.1145/3616855.3635856,,,,available,in_article,https://github.com/ZahraAbbasiantaeb/SimQUAC/tree/main,,,,,
41,WSDM’24,conference,IDoFew: Intermediate Training Using Dual-Clustering in Language Models for Few Labels Text Classification,no,https://dl.acm.org/doi/10.1145/3616855.3635849,,,,not_available,,,,no,,,I can’t find any source code and authors’ websites.
42,WSDM’24,conference,LabelCraft: Empowering Short Video Recommendations with Automated Label Crafting,no,https://dl.acm.org/doi/10.1145/3616855.3635816,,,,available,in_article,https://github.com/baiyimeng/LabelCraft,,,,,I don’t think the source code is reproducible because there is no implementation instruction.
43,WSDM’24,conference,K2: A Foundation Language Model for Geoscience Knowledge Understanding and Utilization,no,https://dl.acm.org/doi/10.1145/3616855.3635772,,,,available,in_article,https://github.com/davendw49/k2,,,,,
44,WSDM’24,conference,Dance with Labels: Dual-Heterogeneous Label Graph Interaction for Multi-intent Spoken Language Understanding,no,https://dl.acm.org/doi/10.1145/3616855.3635782,,,,not_available,,,,no,,,I can’t find any source code and authors’ websites.
45,WSDM’24,conference,On the Effectiveness of Unlearning in Session-Based Recommendation,no ,https://dl.acm.org/doi/10.1145/3616855.3635823,,,,available,in_article,https://github.com/shirryliu/SRU-code,python,,,,
46,TOMM’24,journal,Detecting Deepfake Videos using Spatiotemporal Trident Network,no,https://dl.acm.org/doi/10.1145/3623639,,,,not_available,,,,no,,,I can’t find any source code and authors’ websites.
47,TOMM’24,journal,Inter-camera Identity Discrimination for Unsupervised Person Re-identification,no,https://dl.acm.org/doi/10.1145/3652858,,,,available,in_article,https://github.com/hooldylan/IIDCL,,,,,
48,TOMM’24,journal,High Efficiency Deep-learning Based Video Compression,no,https://dl.acm.org/doi/10.1145/3661311,,,,not_available,,,,no,,,I can’t find any source code and authors’ websites.
49,TOMM’24,journal,Multimodal Visual-Semantic Representations Learning for Scene Text Recognition,no,https://dl.acm.org/doi/10.1145/3646551,,,,not_available,,,,no,,,I can’t find any source code and authors’ websites.
50,TOPLAS’24,journal,Proving Correctness of Parallel Implementations of Transition System Models,no,https://dl.acm.org/doi/10.1145/3660630,,,,not_available,,,,no,,,I can’t find any source code and authors’ websites.
51,TOPLAS’24,journal,Decomposition-based Synthesis for Applying Divide-and-Conquer–like Algorithmic Paradigms,no,https://dl.acm.org/doi/10.1145/3648440,,,,not_available,,,,no,,,There is no source code in the author’s website.
52,ICSE’24,conference,JOG: Java JIT Peephole Optimizations and Tests from Patterns,no,https://dl.acm.org/doi/10.1145/3639478.3640040,,,,available,in_article,https://github.com/EngineeringSoftware/jog,"jdk>=10, Linux",,,,
53,ICSE’24,conference,Boidae: Your Personal Mining Platform,no,https://dl.acm.org/doi/10.1145/3639478.3640026,,,,available,in_article,https://github.com/boalang/boa-docker/tree/main,docker,,,,The author provided a demo video
54,ICSE’24,conference,TypeEvalPy: A Micro-benchmarking Framework for Python Type Inference Tools,no,https://dl.acm.org/doi/10.1145/3639478.3640033,,,,available,in_article,https://github.com/secure-software-engineering/TypeEvalPy,,,,,
55,ICSE’24,conference,Refinery: Graph Solver as a Service,no,https://dl.acm.org/doi/10.1145/3639478.3640045,,,,available,in_software,https://github.com/graphs4value/refinery,docker,,,,I can use the software directly and the author provided a video demonstration. Link to the software: https://refinery.services/
56,ICSE’24,conference,CodeGRITS: A Research Toolkit for Developer Behavior and Eye Tracking in IDE,no,https://dl.acm.org/doi/10.1145/3639478.3640037,,,,available,in_article,https://github.com/codegrits/CodeGRITS,,,,,
57,ICSE’24,conference,FaultFuzz: A Coverage Guided Fault Injection Tool for Distributed Systems,no,https://dl.acm.org/doi/10.1145/3639478.3640036,,,,available,in_article,https://github.com/tcse-iscas/FaultFuzz,,,,,
58,SIGMOD’24,conference,FinSQL: Model-Agnostic LLMs-based Text-to-SQL Framework for Financial Analysis,no,https://dl.acm.org/doi/10.1145/3626246.3653375,,,,available,in_article,https://github.com/bigbigwatermalon/FinSQL,,,,,
59,SIGMOD’24,conference,Rock: Cleaning Data by Embedding ML in Logic Rules,no,https://dl.acm.org/doi/10.1145/3626246.3653372,,,,not_available,,,,,,,I checked several websites related to this paper and found nothing.
60,SIGMOD’24,conference,Stage: Query Execution Time Prediction in Amazon Redshift,no,https://dl.acm.org/doi/10.1145/3626246.3653391,,,,not_available,,,,,,,I can’t find any source code and authors’ websites.
61,SIGMOD’24,conference,PolarDB-MP: A Multi-Primary Cloud-Native Database via Disaggregated Shared Memory,no,https://dl.acm.org/doi/pdf/10.1145/3626246.3653377,,,,,,,,,,,
